"from","to","Integrated Gradients","Saliency"
"CEP97","AKAP9",0,0
"CFTR","AP2B1",0,0
"CFTR","CD4",0,0
"CFTR","AGT",0,0
"CFTR","PSMD11",0,0
"CFTR","LRP2",0,0
"CFTR","CBL",0,0
"CFTR","PSMD4",0,0
"CFTR","EGFR",0,0
"CFTR","PIK3C2A",0,0
"CFTR","LDLR",0,0
"CFTR","ITSN1",0,0
"CFTR","EPN1",0,0
"CFTR","GAPVD1",0,0
"CFTR","UBC",0,0
"CFTR","STAM2",0,0
"CFTR","STON1",0,0
"CFTR","SYT9",0,0
"CFTR","SYT11",0,0
"CFTR","PSMC6",0,0
"CFTR","DNM3",0,0
"CFTR","ANO1",0,0
"CFTR","CLTCL1",0,0
"CFTR","SYNJ2",0,0
"CFTR","WASL",0,0
"CFTR","ITSN2",0,0
"CFTR","PRKACG",0,0
"CFTR","SYNJ1",0,0
"CFTR","DAB2",0,0
"CFTR","EPS15",0,0
"CFTR","PSMD3",0,0
"CFTR","PSMD12",0,0
"CFTR","CHRM2",0,0
"CFTR","EGF",0,0
"CFTR","SGIP1",0,0
"CFTR","SNAP91",0,0
"CFTR","ARPC2",0,0
"CFTR","HSPA8",0,0
"CFTR","AGTR1",0,0
"CFTR","SH3GL2",0,0
"CFTR","AP2A1",0,0
"CFTR","IGF2R",0,0
"CFTR","SNX9",0,0
"CFTR","AP2A2",0,0
"CFTR","STON2",0,0
"CFTR","HIP1",0,0
"CFTR","KIAA0319",0,0
"CFTR","DNM1",0,0
"CFTR","DNAJC6",0,0
"CHAF1A","ARID1A",0,0
"CHD1L","RNF111",0,0
"CHD3","BRPF1",0,0
"CHD4","HIST2H2BE",0,0
"CHD9","FDFT1",0,0
"CHEK2","UBC",0,0
"CHERP","PRPF8",0,0
"CHI3L1","DOCK2",0,0
"CHIT1","SPTAN1",0,0
"CHL1","ANK1",0,0
"CHL1","NRP1",0,0
"CHRD","ATF2",0,0
"CHRD","BMP1",0,0
"CHRM1","JUN",0,0
"CHRM2","AP2B1",0,0
"CHRNA1","JUN",0,0
"CHRNA1","CHRNB3",0.2,0
"CHRNB2","CHRNA4",0,0
"CHRNB3","CHRNA4",0,0
"CHRNB4","ITGAM",0,0
"CHRND","CHRNA1",0.06,0
"CHRND","CHRNA4",0,0
"CHRND","CHRNB2",0,0
"CHSY1","BCAN",0,0
"CHSY3","BCAN",0,0
"CHUK","RPS6KA1",0,0
"CILP","IGF1R",0,0
"CKAP2","TOP2A",0,0
"CLASP1","ZWILCH",0,0
"CLEC10A","MUC5B",0,0
"CLIP2","CLASP1",0,0
"CLOCK","NRIP1",0,0
"CLOCK","RAI1",0,0
"CLTCL1","AP2B1",0,0
"CLUAP1","DYNC2LI1",0,0
"CNDP1","ABAT",0,0
"CNDP2","ABAT",0,0
"CNGA1","PDE6B",0,0
"CNKSR1","BCL2L11",0,0
"CNTN2","NCAM1",0,0
"CNTN2","CNTNAP2",0,0
"CNTNAP1","EPB41L3",0,0
"COG3","SPTBN2",0,0
"COG5","SPTBN2",0,0
"COL11A1","SDC1",0.02,0.04
"COL14A1","COL16A1",0,0
"COL17A1","COL16A1",0,0
"COL1A1","COL5A3",0,0
"COL1A1","P4HA1",0,0
"COL1A1","RB1",0,0
"COL1A2","COL16A1",0,0
"COL2A1","SDC1",0.02,0.04
"COL3A1","SDC1",0.02,0.04
"COL4A3","NCAM1",0,0
"COL4A4","NCAM1",0,0
"COL5A1","SDC1",0.02,0.04
"COL5A2","SDC1",0.02,0.04
"COL5A3","COL16A1",0,0
"COL6A1","COL16A1",0,0
"COL6A2","COL16A1",0,0
"COL7A1","SDC1",0.02,0.04
"COL8A1","COL16A1",0,0
"COL9A1","COL16A1",0,0
"COL9A3","COL16A1",0,0
"COPA","SPTBN2",0,0
"COPB1","ITGAM",0,0
"COPB1","ANK2",0,0
"COPB1","SPTBN4",0,0
"COPB1","SPTBN5",0,0
"COPB1","USO1",0,0
"COPB1","ANK1",0,0
"COPB1","ANK3",0,0
"COPB1","SPTB",0,0
